bonus,completed,pid,version
0,False,0,1.1
0,False,1,1.1
0,False,2,1.1
0,False,3,1.1
0,False,4,1.1
0,False,5,1.1
0,False,6,1.1
0,False,7,1.1
0,False,8,1.1
0,False,9,1.1
0,False,10,1.1
0,False,11,1.1
0,False,12,1.1
0,False,13,1.1
0,False,14,1.1
0,False,15,1.1
0,False,16,1.1
0,False,17,1.1
0,False,18,1.1
0,False,19,1.1
0,False,20,1.1
0,False,21,1.1
0,False,22,1.1
0,False,23,1.1
0,False,24,1.1
0,False,25,1.1
0,False,26,1.1
0,False,27,1.1
0,False,28,1.1
0,False,29,1.1
0,False,30,1.1
0,False,31,1.1
0,False,32,1.1
0,False,33,1.1
0,False,34,1.1
0,False,35,1.1
0,False,36,1.1
0,False,37,1.1
0,False,38,1.1
